# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9734
#@/user_id	xgh-macpro
bian liang 	變量	c=9 d=0.875215 t=9734
bian ma 	編碼	c=7 d=0.0780506 t=9734
bian yi 	編譯	c=7 d=2.36076 t=9734
biao 	表	c=2 d=1.89287e-07 t=9734
biao da shi 	表達式	c=2 d=0.390628 t=9734
biao mei 	表妹	c=3 d=2.94032e-06 t=9734
biao shi 	表示	c=8 d=0.0309804 t=9734
biao xiang 	表象	c=1 d=0.0124008 t=9734
biao zhi 	標識	c=1 d=0.00195963 t=9734
biao zhun 	標準	c=1 d=0.0437178 t=9734
bie 	別	c=7 d=0.414787 t=9734
bie chu xin cai 	別出心裁	c=1 d=7.99332e-13 t=9734
bie ren 	別人	c=3 d=0.0645704 t=9734
bie ren jia 	別人家	c=2 d=1.14695e-06 t=9734
bie wen wo 	別問我	c=1 d=5.05567e-06 t=9734
bing 	並	c=4 d=0.247833 t=9734
bing bu 	並不	c=4 d=0.00105559 t=9734
bing bu shi 	並不是	c=1 d=0.00381048 t=9734
bing bu xin 	並不信	c=1 d=2.42587e-14 t=9734
bing bu xu yao 	並不需要	c=1 d=5.6865e-07 t=9734
bing fa 	併發	c=1 d=5.99353e-08 t=9734
bing mei you 	並沒有	c=2 d=0.353644 t=9734
bo fang 	播放	c=7 d=0.112633 t=9734
bo ke 	博客	c=30 d=0.740673 t=9734
bo wen 	博文	c=1 d=0.00275317 t=9734
bo you 	博友	c=1 d=0.00377257 t=9734
bu 	不	c=56 d=1.72885 t=9734
bu bao 	不報	c=0 d=0.00608101 t=9734
bu bao cuo 	不報錯	c=1 d=0.0611149 t=9734
bu chang jin 	補償金	c=1 d=0.000111109 t=9734
bu chong 	補充	c=1 d=5.7864e-06 t=9734
bu chu 	不出	c=1 d=8.23535e-11 t=9734
bu cun zai 	不存在	c=2 d=0.00557201 t=9734
bu cuo 	不錯	c=2 d=1.22502e-05 t=9734
bu dai biao 	不代表	c=1 d=0.000409735 t=9734
bu dao 	不到	c=2 d=1.29596e-12 t=9734
bu di 	不低	c=0 d=1.36742e-06 t=9734
bu di le 	不低了	c=1 d=1.37427e-05 t=9734
bu dong 	不懂	c=4 d=0.465334 t=9734
bu dui 	不對	c=3 d=3.87744e-06 t=9734
bu duo 	不多	c=2 d=6.82444e-06 t=9734
bu fen 	部分	c=2 d=8.09042e-08 t=9734
bu fu he 	不符合	c=1 d=0.00344787 t=9734
bu gan 	不敢	c=1 d=2.6e-06 t=9734
bu gao 	不高	c=2 d=0.00408677 t=9734
bu gou 	不夠	c=6 d=0.222796 t=9734
bu gou hua 	不夠花	c=1 d=8.19288e-09 t=9734
bu guan 	不管	c=1 d=7.07234e-14 t=9734
bu guan yong 	不管用	c=2 d=2.05686e-10 t=9734
bu guo 	不過	c=4 d=0.0347131 t=9734
bu hao 	不好	c=6 d=0.0790306 t=9734
bu hui 	不會	c=11 d=0.59579 t=9734
bu hui qu 	不回去	c=2 d=0.022261 t=9734
bu ji 	不急	c=1 d=2.54323e-11 t=9734
bu ji de 	不記得	c=1 d=4.67905e-07 t=9734
bu jin 	不僅	c=1 d=0.00302756 t=9734
bu jiu 	不就	c=2 d=0.251829 t=9734
bu ju 	佈局	c=3 d=0.774917 t=9734
bu ke 	不可	c=2 d=0.00630082 t=9734
bu ke neng 	不可能	c=1 d=1.03901e-09 t=9734
bu ke shuo 	不可說	c=1 d=3.02128e-08 t=9734
bu ke yong 	不可用	c=1 d=5.03131e-08 t=9734
bu lai 	不來	c=1 d=2.88186e-11 t=9734
bu le 	不了	c=1 d=1.67449e-06 t=9734
bu liao 	不了	c=3 d=0.23132 t=9734
bu liao 	不聊	c=0 d=0.000191125 t=9734
bu liao ji shu 	不聊技術	c=1 d=0.00192083 t=9734
bu ling 	不靈	c=1 d=5.28927e-08 t=9734
bu mai 	不買	c=1 d=0.151829 t=9734
bu neng 	不能	c=11 d=0.000873387 t=9734
bu qing chu 	不清楚	c=1 d=0.131994 t=9734
bu qiu 	不求	c=1 d=7.32176e-10 t=9734
bu quan 	補全	c=3 d=0.0584256 t=9734
bu que ding 	不確定	c=1 d=0.00146632 t=9734
bu ran 	不然	c=6 d=0.0963363 t=9734
bu rang 	不讓	c=2 d=8.97987e-11 t=9734
